Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;Pt 12-14d H;27/07/2024 11:57:26;12:04:59;19;8;0,9;90;716
-;Pt 12-14d H;27/07/2024 12:06:35;12:08:10;23;2;0,5;10;372
-;Pt 12-14d H;27/07/2024 12:10:22;12:39:38;86;29;0,9;352;724
-;Pt 12-14d H;27/07/2024 12:40:43;12:42:37;93;2;0,7;18;563
-;Pt 12-14d H;27/07/2024 12:47:38;12:50:34;100;3;0,9;33;683
-;Triplex 17d H;27/07/2024 13:00:21;13:04:14;7;4;0,8;45;691
-;Triplex 17d H;27/07/2024 13:09:39;13:39:22;97;30;1,1;453;918
-;Porte 1-3d H;29/07/2024 07:26:14;07:46:47;32;21;1;272;797
-;Pt 3-5d Triplex;29/07/2024 08:15:51;09:19:23;100;64;1;870;824
-;Porte 1-3d H;30/07/2024 08:02:07;08:47:39;79;46;1;637;843
-;Triplex 6d F14;30/07/2024 09:43:26;10:27:13;91;44;0,8;476;655
-;Triplex 6d F14;30/07/2024 10:28:39;10:32:27;100;4;0,9;45;716
-;Pt 14d Triplex;30/07/2024 12:15:41;12:20:48;16;5;0,9;63;743
-;Triplex 17d H;30/07/2024 12:34:04;13:05:47;94;32;1,1;481;913
-;Porte 1-3d H;31/07/2024 10:31:05;11:14:01;71;43;1;572;802
-;Triplex 6d F14;31/07/2024 12:10:48;12:26:04;28;15;0,7;146;575
-;Triplex 17d H;31/07/2024 14:19:07;14:42:00;62;23;1,1;327;861
-;F14 Pt9 H;31/07/2024 14:49:42;14:52:58;4;3;0,6;28;521
-;Porte 1-3d H;01/08/2024 07:27:02;08:14:28;81;47;1;656;833
-;Pt 3-5d Triplex;01/08/2024 09:12:23;10:08:35;96;56;1,1;824;874
-;Porte 1-3d H;03/08/2024 07:54:53;07:56:58;3;2;0,7;20;583
-;Porte 1-3d H;03/08/2024 07:57:42;08:27:42;54;30;1;412;828
-;Porte 1-3d H;03/08/2024 08:28:24;08:54:15;96;26;1;344;802
-;Pt 3-5d Triplex;03/08/2024 09:59:00;10:28:46;48;30;1;420;850
-;Triplex 17d H;03/08/2024 11:16:16;11:49:54;100;34;1,2;525;939
-;Porte 1-3d H;05/08/2024 07:24:45;07:49:39;35;25;0,9;307;742
-;Pt 3-5d Triplex;05/08/2024 07:54:17;08:39:54;82;46;1,1;690;911
-;Triplex 6d F14;05/08/2024 09:16:09;09:20:06;7;4;0,6;30;457
-;Triplex 6d F14;05/08/2024 09:20:49;09:51:53;73;31;0,8;341;661
-;Triplex 17d H;05/08/2024 10:03:34;10:33:55;91;30;1,1;468;929
-;Porte 1-3d H;06/08/2024 07:33:29;07:51:35;13;18;0,6;138;458
-;Porte 1-3d H;06/08/2024 07:52:07;08:53:33;92;61;0,8;637;625
-;Pt 3-5d Triplex;06/08/2024 09:22:58;09:27:54;3;5;0,5;33;407
-;Pt 3-5d Triplex;06/08/2024 09:33:22;09:43:44;11;10;0,6;82;475
-;Triplex 6d F14;06/08/2024 10:10:36;10:30:17;28;20;0,6;154;471
-;Porte 1-3d H;07/08/2024 07:38:08;08:37:05;100;59;1;800;817
-;Triplex 17d H;07/08/2024 11:29:16;12:00:48;23;32;0,3;134;257
-;Pt 14d Triplex;07/08/2024 12:04:51;12:07:02;6;2;1;29;801
-;Pt 3-5d Triplex;08/08/2024 09:33:59;09:39:46;5;6;0,7;58;600
-;Pt 3-5d Triplex;08/08/2024 09:46:30;10:30:55;75;44;1;603;818
-;Pt 3-5d Triplex;08/08/2024 10:32:03;10:47:05;100;15;1,1;219;877
-;Triplex 6d F14;08/08/2024 12:22:33;12:28:58;10;6;0,6;53;494
-;Triplex 6d F14;08/08/2024 12:29:40;12:34:58;13;5;0,4;27;304
-;F14 Pt9 H;08/08/2024 13:00:38;13:04:29;7;4;0,5;24;379
-;F14 Pt9 H;08/08/2024 13:07:16;13:34:32;77;27;0,7;275;606
-;test steve;10/08/2024 07:01:02;07:01:41;50;1;2,4;22;2019
-;test steve;10/08/2024 07:07:34;07:10:57;100;3;1,8;77;1365
-;test steve;10/08/2024 07:11:39;07:14:07;100;2;2,4;75;1832
-;Pt 3-5d Triplex;10/08/2024 09:43:49;10:23:19;61;40;1;544;830
-;Pt 3-5d Triplex;10/08/2024 10:30:20;10:33:59;67;4;1,1;56;923
-;Pt 3-5d Triplex;10/08/2024 10:34:43;10:53:34;98;19;1;263;842
-;Triplex 6d F14;10/08/2024 12:22:59;12:29:16;10;6;0,6;51;490
-;Pt 12-14d H;10/08/2024 12:55:19;12:56:52;4;2;0,6;12;470
-;Pt 12-14d H;10/08/2024 13:00:41;13:15:25;41;15;0,9;174;712
-;Pt 3-5d Triplex;11/08/2024 07:12:36;07:16:56;5;4;0,8;44;608
-;Pt 3-5d Triplex;11/08/2024 07:27:57;08:27:32;100;60;1,1;858;867
-;Triplex 6d F14;11/08/2024 10:43:46;11:30:16;91;46;0,8;483;625
-;Triplex 6d F14;11/08/2024 11:30:50;11:35:06;100;4;0,8;46;654
-;Pt 3-5d Triplex;12/08/2024 07:08:57;08:04:22;92;55;1,1;799;868
-;Pt 3-5d Triplex;12/08/2024 08:05:03;08:09:32;100;4;1;58;783
-;F14 Pt9 H;12/08/2024 10:18:01;10:21:37;4;4;0,6;27;450
-;Triplex 6d F14;12/08/2024 13:10:44;13:21:57;19;11;0,7;111;595
